id,key,instances,category
10,mix,"['beat', 'blend', 'fold-in', 'mix', 'mix-around', 'mix-in', 'mix-so', 'mix-together', 'mix-with', 'scramble', 'stir', 'stir-in', 'stir-into', 'stir-with', 'whisk', 'whisk-in', 'mix-into', 'stir-on', 'beat', 'whip', 'swirl', 'ram', 'stir on', 'stir through', 'mix together', 'mix around', 'fold down', 'fold out', 'beat into', 'stir in', 'fold', 'end', 'fold by', 'mix with', 'mix through', 'stir with', 'end up', 'fold up', 'stir for', 'fold in', 'mix until', 'mix in', 'fold over', 'mix up', 'interchange', 'shuffle through', 'rackuse', 'fiddle with', 'contain', 'settle', 'counter with', 'sift through', 'shuffle']",merge
11,move,"['back', 'drag-around', 'move', 'move-along', 'move-around', 'move-from', 'move-into', 'move-off', 'move-on', 'move-onto', 'move-through', 'move-to', 'move-with', 'move-within', 'pass-to', 'return-to', 'transfer', 'transfer-from', 'transfer-into', 'transfer-to', 'flick', 'flick-up', 'swap', 'distribute-in', 'make-in', 'change-for', 'duck', 'face', 'pass through', 'hang on', 'transfer onto', 'hang from', 'flick to', 'change down', 'transfer by', 'lick off', 'lick', 'pass', 'flick off', 'drag with', 'change', 'distribute', 'transfer off', 'flick up', 'drag', 'hang up', 'change to', 'hang', 'transfer to', 'transfer from', 'hang over', 'transfer into', 'pass to', 'alternate between', 'retract', 'reorientate', 'deal with', 'offload', 'cross to', 'exchange']",transition
12,remove,"['dispense', 'extract', 'get-out', 'pick-out', 'pop-out', 'remove', 'remove-from', 'remove-inside', 'remove-into', 'remove-out', 'remove-with', 'take-off', 'take-out', 'unclip', 'unsheathe', 'clear', 'unplug', 'desee', 'remove-off', 'extract-from', 'fish-out', 'deseed', 'deseede', 'dislodge', 'unclog', 'plug', 'plug on', 'clear away', 'plug in', 'extract with', 'see as', 'clip', 'clear out', 'plug down', 'fish out', 'clear up', 'see', 'swill out', 'enclose', 'delete', 'reduce', 'decant', 'impede', 'absorb', 'alternate', 'swill', 'redirect', 'come out', 'silence', 'jar out', 'knock off', 'pluck off', 'decant out', 'retreive', 'eliminate', 'usnig', 'wre out', 'come off', 'ignore', 'even out']",retrieve
13,throw,"['bin', 'chuck-into', 'discard', 'dispose-of', 'recycle', 'rubbish-in', 'throw', 'throw-away', 'throw-down', 'throw-for', 'throw-from', 'throw-in', 'throw-inside', 'throw-into', 'throw-off', 'throw-on', 'throw-onto', 'throw-out', 'throw-over', 'toss', 'trash', 'trow', 'swipe-into', 'throw-to', 'remain-in', 'remain in', 'swipe on', 'remain on', 'dispose', 'rub away', 'rub across', 'swipe up', 'dispose of', 'swipe onto', 'rub', 'rub off', 'throw open', 'throw out', 'discard in', 'rub around', 'remain inside', 'throw to', 'throw off', 'remain of', 'chuck', 'waste']",leave
14,dry,"['dry', 'dry-off', 'dry-on', 'dry-with', 'towel', 'dry-in', 'dry under', 'dry on', 'dry out', 'dry onto', 'dry up', 'towel out', 'dry off']",clean
15,shake,"['jiggle', 'shake', 'shake-from', 'shake-in', 'shake-off', 'shake-on', 'shake-onto', 'shake-out', 'shake-over', 'shake-with', 'waft', 'swirl', 'swirl-in', 'swill around', 'swirl around', 'swirl in', 'cap']",manipulate
16,scoop,"['ladle', 'scoop', 'scoop-at', 'scoop-from', 'scoop-in', 'scoop-into', 'scoop-out', 'scoop-up', 'scoop-with', 'shovel', 'shovel-up', 'skim-off', 'spoon', 'spoon-in', 'spoon-into', 'spoon-onto', 'spoon-out', 'spoon over', 'spoon out', 'scoop out', 'spoon up', 'spoon with', 'scoop up', 'scoop off', 'scoop under', 'scoop with', 'scoop from', 'spoon on', 'nudge with', 'nudge']",retrieve
17,adjust,"['adjust', 'adjust-in', 'adjust-on', 'calibrate', 'change', 'regulate', 'adjust to', 'adjust by', 'recalibrate', 'readjust', 'control']",monitor
18,squeeze,"['crumple', 'crumple-up', 'juice', 'scrunch-up', 'squash', 'squeeze', 'squeeze-around', 'squeeze-from', 'squeeze-in', 'squeeze-into', 'squeeze-onto', 'squeeze-out', 'squeeze-over', 'squeeze-with', 'squidge', 'squidge-into', 'squidge-with', 'squish', 'squish-into', 'wring', 'wring-out', 'let-out', 'wring', 'juice', 'run', 'squeeze above', 'squeeze in', 'let with', 'ring', 'squeeze up', 'run into', 'let go of', 'run in', 'scrunch', 'crumple up', 'run under', 'squeeze out', 'squeeze with', 'scrunch up', 'squeeze off', 'grasp', 'compact', 'slow', 'fluff up', 'shush', 'sneeze into', 'cough into', 'slam', 'struggle at', 'zoom', 'fluff', 'pinch', 'enlarge', 'ramp', 'wiggle', 'crimp down', 'swinge', 'crouch', 'reweighe', 'bulk out', 'pluck', 'pinch with', 'crimp']",manipulate
19,peel,"['peel', 'peel-back', 'peel-from', 'peel-off', 'peel-with', 'skin', 'skin-from', 'defoliate', 'peel open', 'peel down', 'peel off', 'peel at', 'peel out', 'peel away', 'peel with', 'peel up', 'peel into', 'peel back']",split
20,empty,"['empty', 'empty-from', 'empty-into', 'empty-out', 'tip-out', 'tip-to', 'empty out', 'empty into']",split
21,press,"['collapse', 'compress', 'press', 'press-down', 'press-into', 'press-on', 'press-onto', 'push', 'push-down', 'push-off', 'push-onto', 'push-out', 'push-up', 'press-in', 'push-on', 'compress-in', 'compress-on', 'reset', 'zero', 'zero out', 'tare', 'squash', 'press along', 'press in', 'press out', 'press against', 'press with', 'press on', 'press by', 'press at', 'press down', 'press around', 'press into', 'speak', 'click', 'pulse on', 'brace against']",manipulate
22,flip,"['flip', 'flip-in', 'flip-over', 'flip-through', 'overturn', 'turn-over', 'upturn', 'reverse', 'rotate-to', 'turn-with', 'flip-with', 'flip-onto', 'flip through', 'flip down', 'flip above', 'rotate with', 'flip up', 'rotate after', 'flip open', 'flip around', 'rotate', 'flip in', 'flip over', 'rotate over', 'rotate in', 'flip to', 'invert with', 'invert']",manipulate
23,turn,"['rotate', 'rotate-around', 'spin', 'turn', 'turn-around', 'turn-away', 'turn-in', 'turn-to', 'pivot', 'angle']",manipulate
24,check,"['check', 'check-in', 'check-on', 'check-out', 'ensure', 'examine', 'inspect', 'look-in', 'test', 'watch', 'count', 'realize', 'look into', 'look behind', 'inspect on', 'look inside', 'look at', 'look under', 'check inside', 'look across', 'look towards', 'look for', 'check to', 'look underneath', 'look', 'look with', 'look over', 'look to', 'check for', 'count out', 'check in', 'look around', 'look on', 'look through', 'check up', 'check around', 'look onto', 'look in', 'check on', 'check by', 'observe', 'miss', 'showcase', 'monitor', 'study', 'display', 'review', 'glance up', 'identify', 'point out', 'compare']",monitor
25,scrape,"['drag-through', 'loose', 'scrap', 'scrape', 'scrape-against', 'scrape-around', 'scrape-down', 'scrape-from', 'scrape-in', 'scrape-into', 'scrape-of', 'scrape-off', 'scrape-on', 'scrape-onto', 'scrape-out', 'scrape-to', 'scrape-up', 'scrape-with', 'scratch-off', 'level', 'scrap-on', 'detach-from', 'scrape against', 'scrape out', 'scrape over', 'scrape off', 'level out', 'scrape around', 'detach', 'scrape through', 'scrape down', 'scrape up', 'scratch off', 'scratch', 'pry', 'haul']",clean
26,fill,"['fill', 'fill-from', 'fill-into', 'fill-up', 'fill-with', 'stuff', 'stuff-with', 'fill off', 'fill up', 'fill with', 'fill in', 'refill']",merge
27,apply,"['apply', 'apply-to', 'distribute', 'smear', 'spread', 'spread-around', 'spread-in', 'spread-into', 'spread-on', 'spread-onto', 'spread-out', 'spread-over', 'pump-onto', 'squirt', 'add-on', 'apply-in', 'spread-with', 'apply to', 'spread on', 'spread out', 'read out', 'spread in', 'read through', 'read', 'add into', 'add to', 'add', 'spread open', 'squirt out', 'promote', 'accumulate', 'obtain', 'expose']",distribute
28,fold,"['fold', 'fold-into', 'fold-over', 'fold-up']",order
29,scrub,"['scrub', 'scrub-down', 'scrub-inside', 'scrub-with', 'scour', 'scrub across', 'scrub along', 'scrub above', 'scrub at', 'scrub with', 'scrub in', 'scrub off', 'scrub on', 'scrub away', 'scrub between']",clean
30,break,"['break', 'break-into', 'break-off', 'break-up', 'break-with', 'crack', 'crack-in', 'crack-into', 'crack-on', 'snap', 'shred', 'stem', 'debone', 'break-apart', 'break-in', 'open-into', 'shred with', 'break down', 'break off', 'crack open', 'break into', 'snap off', 'break up', 'break open', 'retry', 'struggle with']",split
31,pull,"['pull', 'pull-at', 'pull-from', 'pull-in', 'pull-on', 'pull-out', 'pull-through', 'pull-up', 'pull-down', 'drawer']",manipulate
32,pat,"['dab', 'dab-in', 'pat', 'pat-down', 'pat-into', 'poke', 'prod', 'tap', 'tap-against', 'tap-on', 'tap-with', 'hit', 'hit-on', 'hit-with', 'dab-with', 'poke at', 'pat down', 'hit against', 'poke with', 'hit on', 'hit with', 'hit down', 'yank', 'punch', 'slap', 'tend', 'knock', 'injure', 'dunk']",sense
33,lift,"['lift', 'lift-from', 'lift-off', 'lift-out', 'lift-up', 'raise', 'tilt', 'lift up', 'lift with', 'lift off', 'tilt up', 'lift out', 'tilt in', 'tilt over', 'raise with', 'raise up', 'squat', 'warm up', 'strengthen', 'climb onto', 'climb down']",retrieve
34,hold,"['hold', 'hold-along', 'hold-down', 'hold-in', 'hold-onto', 'hold-out', 'hold-over', 'hold-with', 'hover', 'hold back', 'hold onto', 'hold under', 'hold with', 'hold on', 'hold in', 'hold up', 'hold down', 'hold open', 'retain', 'keep', 'keep down', 'keep from', 'pause', 'stabilize']",manipulate
35,eat,"['bite', 'chew-on', 'eat', 'eat-from', 'swallow', 'lick', 'sample', 'taste', 'eat-on', 'taste from']",sense
36,wrap,"['clamp', 'clip', 'cover', 'cover-in', 'cover-with', 'fasten', 'lay-over', 'reseal', 'rewrap', 'seal', 'tie', 'tie-in', 'wrap', 'wrap-around', 'wrap-in', 'wrap-onto', 'wrap-up', 'wrap-with', 'seal-with', 'wrap-over', 'roll-up', 'roll over', 'roll into', 'roll on', 'roll out', 'seal', 'seal close', 'roll down', 'roll onto', 'wrap up', 'tie up', 'cover over', 'roll with', 'roll in', 'cover in', 'roll', 'roll up', 'cover to', 'roll after', 'wrap in', 'protect under', 'cross', 'flap', 'preserve']",block
37,filter,"['drain', 'drain-from', 'drain-into', 'drain-on', 'drain-out', 'dump-out', 'filter', 'strain', 'strain-from', 'strain-in', 'drain-in', 'drain out', 'dump', 'drain by', 'filter out', 'sink', 'retwist', 'saturate', 'dilute']",split
38,look,"['look', 'look-at', 'look-behind', 'look-through', 'look-under', 'read', 'read-on', 'see', 'see-at', 'see-off', 'stare-at', 'stare', 'tare off', 'regard', 'saw like', 'tell from', 'glance towards', 'readd', 'visualize', 'peek off', 'view', 'saw']",monitor
39,unroll,"['roll-out', 'unroll', 'unroll-from', 'unfold', 'unfurl', 'unfold with', 'unfold by', 'unroll with', 'unstick', 'uncap', 'unstack', 'unsqueeze', 'unlide']",access
40,sort,"['arrange', 'arrange-on', 'coil', 'line-up', 'pile', 'rearrange', 'sort', 'sort-out', 'straighten', 'straighten-out', 'tessellate', 'tidy', 'stack', 'stack-in', 'stack-up', 'align', 'rearrange-in', 'arrange-in', 'sort-in', 'sort through', 'stack on', 'pile up', 'sort out', 'stack in', 'line up', 'oil', 'coil up', 'tidy away', 'straighten out', 'line', 'tidy up', 'update', 'refolde', 'minimize', 'scroll', 'repeat', 'repeat by', 'deassemble', 'group', 'mess up', 'homogenize', 'bunch', 'resume', 'reform', 'shelf', 'pair', 'redistribute', 'mend', 'neaten']",order
41,hang,"['drape', 'hang', 'hang-up', 'hand', 'hang-on', 'hand over', 'hook']",leave
42,sprinkle,"['crumble', 'crumble-into', 'distribute-on', 'distribute-onto', 'scatter', 'sprincle', 'sprinkle', 'sprinkle-in', 'sprinkle-into', 'sprinkle-on', 'sprinkle-onto', 'sprinkle-over', 'scatter-onto', 'garnish', 'sprinkle over', 'clump', 'disperse', 'sift']",distribute
43,rip,"['rip', 'rip-off', 'tear', 'tear-down', 'tear-from', 'tear-in', 'tear-into', 'tear-off', 'tear-on', 'tear-out', 'tear-up', 'rip-with', 'tear by', 'tear away', 'tear off', 'tear open', 'tear out', 'rip off']",split
44,spray,"['spay', 'spray', 'spray-down', 'spray-on', 'spray around', 'spray down', 'spray on', 'pay']",distribute
45,cook,"['boil', 'cook', 'fry', 'fry-in', 'heat', 'steam', 'stir-fry', 'toast', 'cook-into', 'boil-with', 'scramble', 'saute', 'brown', 'burn', 'steam out', 'fry in', 'cook with', 'cook on', 'fry open', 'preheat', 'pot', 'sauce']",manipulate
46,add,"['add', 'add-from', 'add-into', 'add-to', 'combine', 'combine-into', 'add-in', 'merge', 'incorporate']",merge
47,roll,"['roll', 'roll-around', 'roll-down', 'roll-in', 'roll-into', 'roll-on', 'roll-over', 'reroll']",block
48,search,"['browse', 'find', 'fumble-for', 'locate', 'look-for', 'look-inside', 'rifle-through', 'rummage-in', 'search', 'search-for', 'search-in', 'rifle through', 'rummage through', 'rummage in', 'search through', 'rummage to', 'search around', 'search for', 'rummage', 'rummage into', 'find out', 'rifle', 'search with', 'rumminage in', 'guide', 'tucfke', 'explore', 'dig through']",monitor
49,crush,"['bash-against', 'crush', 'crush-into', 'crush-with', 'grind', 'grind-into', 'grind-on', 'mash', 'mash-with', 'soften', 'smash', 'grind-onto', 'crush-in', 'grind by', 'bash', 'smash up', 'mash up', 'kick', 'wedge', 'thump']",split
50,stretch,"['stretch', 'stretch-around', 'stretch-onto', 'stretch-out', 'smooth', 'stretch out', 'widen']",manipulate
51,knead,"['knead', 'knead by']",manipulate
52,divide,"['detach', 'disassemble', 'divide', 'separate', 'separate-from', 'separate-out', 'split', 'split-into', 'unattach', 'divide-into', 'separate out', 'assemble', 'attach', 'divider', 'dissolve', 'disentangle', 'reorganize', 'divert']",split
53,set,"['set', 'set-in', 'set-on', 'set-out', 'set-off', 'zero', 'set-to']",manipulate
54,feel,"['feel', 'touch', 'feel through', 'touch with', 'massage']",sense
55,rub,"['rub', 'rub-in', 'rub-into', 'rub-off', 'rub-on', 'rub-onto', 'rub-over', 'rub-with', 'scratch', 'deburr', 'rub-around']",clean
56,soak,"['immerge', 'immerse', 'soak', 'soak-in', 'submerge', 'submerge-in', 'soak at', 'soak from', 'rinsing', 'dampen', 'simmer', 'drench', 'mince']",clean
57,brush,"['brush', 'brush-into', 'brush-off', 'brush-onto', 'sweep', 'sweep-from', 'sweep-into', 'sweep-off', 'sweep-up', 'brush-on', 'paste-onto', 'brush away', 'sweep off', 'brush in', 'brush off', 'paste', 'brush under', 'brush above', 'rebrush']",clean
58,sharpen,"['hone', 'sharpen', 'thin', 'forge']",manipulate
59,drop,"['drop', 'drop-down', 'drop-in', 'drop-on', 'drop-onto', 'fall-on', 'release-from', 'spill', 'tip-over', 'fall onto', 'fall after', 'fall over', 'spill on', 'fall', 'spill off', 'fall into', 'fall on', 'fall from', 'release', 'fall out', 'fall down', 'fall off', 'ease', 'spill over', 'burn down', 'flow down', 'tamp down', 'decrease', 'slow down']",leave
60,drink,"['drink', 'drink-from', 'drink from']",sense
61,slide,"['slide', 'slide-acros', 'slide-along', 'slide-down', 'slide-from', 'slide-inside', 'slide-off', 'slide-on', 'slide-out', 'swipe']",manipulate
62,water,"['damp', 'water', 'wet', 'wet through', 'splash', 'pool']",manipulate
63,gather,"['collect', 'gather', 'gather-in', 'gather-into', 'gather-with', 'gather-from', 'gather up', 'gather inside']",retrieve
64,attach,"['assemble', 'attach', 'attach-onto', 'attach-to', 'clip-on', 'connect', 'plug', 'plug-in', 'plug-into', 'reassemble', 'reattach', 'snap-in', 'fix', 'expand', 'power', 'join', 'manipulate', 'thread', 'configure', 'facilitate', 'cause', 'charge', 'remold', 'slot', 'help with', 'package']",merge
65,turn-down,['turn-down'],monitor
66,coat,"['batter', 'coat', 'brush-with', 'dip', 'marinate', 'butter-in', 'oil', 'smooth-into', 'dip into', 'smooth out', 'smooth down', 'grease', 'pit', 'jar with', 'bubble', 'shimmy', 'cream', 'mortar with', 'emulsify', 'palce', 'scooche']",merge
67,transition,"['transition', 'enter', 'enter-into', 'walk', 'walk-around', 'walk-into', 'walk-to', 'walk-with', 'sit-on', 'step', 'step-off', 'step-on', 'stand-up', 'walk about', 'step up', 'walk across', 'walk past', 'stand up', 'stand inside', 'walk in', 'walk with', 'stand in', 'step on', 'walk at', 'walk into', 'enter into', 'step onto', 'enter to', 'walk towards', 'walk around', 'stand with', 'stand on', 'step across', 'walk toward', 'stand', 'stand from', 'walk to', 'step off', 'dig with', 'guide with', 'head towards']",transition
68,wear,"['wear', 'wear on']",manipulate
69,measure,"['measure', 'measure-into', 'measure-out', 'weigh', 'measure-in', 'measure for', 'weigh on', 'measure out', 'weigh up']",monitor
70,increase,"['increase', 'set-up', 'switch-up', 'turn-up', 'increase-on', 'rise-up', 'crease', 'improve', 'prop up', 'speed up', 'improve on']",monitor
71,unscrew,"['screw-off', 'twist-off', 'unscrew', 'unscrew-from', 'untwist', 'unscrew with', 'unmount', 'yank off', 'undo', 'uncurl']",access
72,wait,"['wait', 'wait-for', 'decide-if', 'decide', 'wait for', 'wait by', 'hesitate', 'postpone', 'hesitate regarding']",monitor
73,lower,"['lower', 'untilt']",monitor
74,form,"['ball-up', 'form', 'form-into', 'reconstruct', 'shape', 'shape-into', 'form-from', 'head', 'firm', 'mold', 'circle', 'inpect', 'transform', 'mould', 'reshape']",manipulate
75,smell,"['smell', 'smell-in', 'sniff', 'blow', 'blow-out', 'smell of', 'blow on', 'air out', 'vent']",sense
76,use,['use'],manipulate
77,grate,"['grate', 'grate-into', 'grate-on', 'grate-onto', 'zest-into', 'zest']",split
78,screw,"['screw', 'screw-in', 'tighten', 'twist', 'tighten on', 'loosen up', 'shift', 'brace', 'clap', 'loosen']",manipulate
79,let-go,"['let', 'let-go', 'go onto', 'go against', 'go around', 'go to', 'go across', 'go throughout', 'go with', 'go over', 'go into', 'go for', 'go up', 'try with', 'scroll through', 'fly into', 'trip over', 'try by', 'buy', 'proceed towards']",leave
80,finish,"['end', 'finish', 'stop', ""ends're"", 'cancel']",manipulate
81,stab,"['pierce', 'pierce-in', 'stab', 'fork', 'mount']",split
82,serve,"['dish', 'dish-up', 'plate', 'plate-on', 'plate-up', 'serve', 'serve-in', 'serve-on', 'plate with']",leave
83,uncover,"['lid-off', 'uncover', 'reveal', 'hide']",access
84,unwrap,"['unpack', 'unravel', 'unseal', 'unwrap', 'unhook', 'untie', 'uncrumple', 'untangle', 'unstacke', 'unknotte', 'uncrumble', 'unflattene', 'unpeel', 'unhinge', 'unclasp']",access
85,choose,"['choose', 'select']",retrieve
86,lock,"['lock', 'lock-in', 'lock-into', 'lock-on', 'lock in', 'secure']",block
87,flatten,"['flatten', 'flatten-out', 'flatten-with', 'flatten out', 'flatten down']",manipulate
88,switch,"['switch', 'switch-to']",access
89,carry,"['bring', 'carry', 'have', 'bring-to', 'bring up', 'carry over', 'bring over', 'bring out', 'bring down', 'have by', 'bring to', 'come', 'protect', 'give']",transition
90,season,"['pepper', 'salt', 'season', 'sweeten', 'salt-in', 'pepper-in', 'season-with', 'lead', 'pestle with', 'spring']",distribute
91,unlock,"['unlock', 'unlock-from', 'unlock with']",access
