video_id,recipe_id,high_level_activity_label,start_time_seconds,end_time_seconds
P04-20240415-175615,,Clean and clear,734.0,739.0
P04-20240415-175615,R06,"Peel and chop onion, slice chillis and peel garlic cloves",739.0,905.0
P04-20240415-175615,,Wash and dry hands,905.0,end
P04-20240415-181212,,Weigh ingredients - garlic and ginger,0.0,42.0
P04-20240415-181212,,Wash mortar and pestle,42.0,85.0
P04-20240415-181212,R06,Grind spices,85.0,247.0
P04-20240415-181212,,Arrange ingredients,247.0,270.0
P04-20240415-181212,R06,Weigh uncooked basmati rice,270.0,337.0
P04-20240415-181212,R06,Measure and collect water,335.0,408.0
P04-20240415-181212,,Note down measurements,408.0,417.0
P04-20240415-181212,,Arrange ingredients,417.0,430.0
P04-20240415-181212,R06,Add oil and ghee to pressure cooker,430.0,534.0
P04-20240415-181212,,Wash spatula,534.0,560.0
P04-20240415-181212,R06,Heat cooker and oils in it,560.0,633.0
P04-20240415-181212,R06,Fry whole spices and nuts,633.0,789.0
P04-20240415-181212,R06,Weigh green peas,789.0,849.0
P04-20240415-181212,R06,Stir contents of cooker,849.0,861.0
P04-20240415-181212,R06,Add and fry ingredients in cooker,861.0,1019.0
P04-20240415-181212,R06,Add garam masala and continue frying,1019.0,1066.0
P04-20240415-181212,R06,Add salt and peas and continue frying,1066.0,1211.0
P04-20240415-181212,R06,"Add water, lime and stir",1211.0,1260.0
P04-20240415-181212,,Wash and dry hands,1260.0,1272.0
P04-20240415-181212,,Note down measurements,1272.0,1286.0
P04-20240415-181212,R06,Continue stirring cooker contents,1286.0,1330.0
P04-20240415-181212,R06,Add rice to cooker and stir,1330.0,1380.0
P04-20240415-181212,R06,Close pressure cooker and let pulav cook,1380.0,1401.0
P04-20240415-181212,,Clean and clear,1401.0,end
P04-20240415-184003,,Clean and clear - wash dishes,0.0,267.0
P04-20240415-184003,,Wash and dry hands,267.0,272.0
P04-20240415-184003,R06,Turn off pressure cooker after two whistles,272.0,299.0
P04-20240415-184003,,Clean and clear - wash dishes,299.0,797.0
P04-20240415-184003,,Wash and dry hands,797.0,824.0
P04-20240415-184003,R06,"Open cooker, fluff and mix pulav",824.0,895.0
P04-20240415-184003,R06,Plate peas pulav,895.0,985.0
P04-20240415-184003,,Clean and clear,985.0,end
